date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:21	195884/195884	---M-Z	200	added ('OK')	text/html	etag:%225f06-63b5286dda947%22	https://neighboranimation.com/	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/index.html	(from )
21:44:21	68/68	---M--	200	added ('OK')	text/plain	etag:%2244-59ba93033a527%22	https://neighboranimation.com/robots.txt		(from )
21:44:21	5880/5880	---M--	200	added ('OK')	image/png	etag:%2216f8-5fbbd0973cd3d%22	https://neighboranimation.com/wp-content/uploads/2022/01/NEIGHBOR_Favicon_Teal.png	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2022/01/NEIGHBOR_Favicon_Teal.png	(from https://neighboranimation.com/)
21:44:22	34578/34578	---M--	200	added ('OK')	image/jpeg	etag:%228712-5fbbd0972b3fc%22	https://neighboranimation.com/wp-content/uploads/2022/04/NEIGHBOR_LOGO_FEATURED22.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2022/04/NEIGHBOR_LOGO_FEATURED22.jpg	(from https://neighboranimation.com/)
21:44:22	95004/95004	---M-Z	200	added ('OK')	text/css	etag:%223080-63b3de924dd2c%22	https://neighboranimation.com/wp-content/cache/minify/a5ff7.css	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/cache/minify/a5ff7.css	(from https://neighboranimation.com/)
21:44:22	362379/362379	---M-Z	200	added ('OK')	text/css	etag:%22e709-63b3de92a0d59%22	https://neighboranimation.com/wp-content/cache/minify/91213.css	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/cache/minify/91213.css	(from https://neighboranimation.com/)
21:44:22	3431/3431	---M-Z	200	added ('OK')	text/css	etag:%222a0-63b3de9278cb2%22	https://neighboranimation.com/wp-content/cache/minify/3eed5.css	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/cache/minify/3eed5.css	(from https://neighboranimation.com/)
21:44:22	331945/331945	---M-Z	200	added ('OK')	text/css	etag:%22b480-63b3de92f6c66%22	https://neighboranimation.com/wp-content/cache/minify/6f9ca.css	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/cache/minify/6f9ca.css	(from https://neighboranimation.com/)
21:44:23	11894/11894	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ccd-63b3de9270011%22	https://neighboranimation.com/wp-content/cache/minify/c4d91.js	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/cache/minify/c4d91.js	(from https://neighboranimation.com/)
21:44:23	100910/100910	---M-Z	200	added ('OK')	application/x-javascript	etag:%2285ed-63b3de9283894%22	https://neighboranimation.com/wp-content/cache/minify/818c0.js	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/cache/minify/818c0.js	(from https://neighboranimation.com/)
21:44:24	158702/158702	---M-Z	200	added ('OK')	application/json	date:Fri,%2001%20Aug%202025%2019:44:23%20GMT	https://neighboranimation.com/wp-json/wp/v2/pages/6	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-json/wp/v2/pages/6.json	(from https://neighboranimation.com/)
21:44:24	201880/201880	---M-Z	200	added ('OK')	application/json	date:Fri,%2001%20Aug%202025%2019:44:23%20GMT	https://neighboranimation.com/wp-json/	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-json/index.html	(from https://neighboranimation.com/)
21:44:24	1212/1212	---M--	200	added ('OK')	application/rss+xml	etag:%223c38518cfad5f710237fcb6fda5b41c8%22	https://neighboranimation.com/feed/	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/feed/index.html	(from https://neighboranimation.com/)
21:44:24	1073/1073	---M--	200	added ('OK')	application/rss+xml	etag:%223c38518cfad5f710237fcb6fda5b41c8%22	https://neighboranimation.com/comments/feed/	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/comments/feed/index.html	(from https://neighboranimation.com/)
21:44:24	840/840	---M-Z	200	added ('OK')	text/xml	date:Fri,%2001%20Aug%202025%2019:44:24%20GMT	https://neighboranimation.com/xmlrpc.php?rsd	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/xmlrpc0db0.php	(from https://neighboranimation.com/)
21:44:24	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-59ba93438a691-gzip%22	https://neighboranimation.com/wp-includes/wlwmanifest.xml	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-includes/wlwmanifest.xml	(from https://neighboranimation.com/)
21:44:25	2756/2756	---M-Z	200	added ('OK')	application/json	date:Fri,%2001%20Aug%202025%2019:44:24%20GMT	https://neighboranimation.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fneighboranimation.com%2F	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-json/oembed/1.0/embed4d83.json	(from https://neighboranimation.com/)
21:44:25	3198/3198	---M-Z	200	added ('OK')	text/xml	date:Fri,%2001%20Aug%202025%2019:44:25%20GMT	https://neighboranimation.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fneighboranimation.com%2F&format=xml	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-json/oembed/1.0/embedb234	(from https://neighboranimation.com/)
21:44:25	4905/4905	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Aug%202025%2019:44:25%20GMT	https://use.typekit.net/xyc6tya.css	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/use.typekit.net/xyc6tya.css	(from https://neighboranimation.com/)
21:44:25	6085/6085	---M--	200	added ('OK')	image/png	etag:%2217c5-5fbbd097841e0%22	https://neighboranimation.com/wp-content/uploads/2018/05/NEIGHBOR_Logo_Web_Dark.png	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2018/05/NEIGHBOR_Logo_Web_Dark.png	(from https://neighboranimation.com/)
21:44:26	16641/16641	---M--	200	added ('OK')	image/png	etag:%224101-5fbbd0986d84d%22	https://neighboranimation.com/wp-content/uploads/2021/10/NEIGHBOR_Logo_Teal.png	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2021/10/NEIGHBOR_Logo_Teal.png	(from https://neighboranimation.com/)
21:44:26	310/310	---M--	200	added ('OK')	image/png	etag:%22136-5fbbd098b0e71%22	https://neighboranimation.com/wp-content/uploads/2018/06.5/PREV_TEST_130.png	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2018/06.5/PREV_TEST_130.png	(from https://neighboranimation.com/)
